id;name;instructions;democode;testcode;solution;tests;medianTime;ordering;visible;created
39;Ohrožení dámou;[["html","Napište funkci <b>queen(x, y)</b>, která znázorní políčka šachovnice ohrožovaná dámou na pozici <i>x, y</i>. Výstup se skládá z tabulku 8x8 vyznačené tečkami, poloha dámy je označená písmenem D, políčka, která dáma ohrožuje jsou označena hvězdičkou. Dáma ohrožuje políčka vodorovně, svisle a šikmo. Můžete předpokládat, že vstupy jsou čísla od 1 do 8. "]];[["python64","ZGVmIHF1ZWVuKHgsIHkpOgogICAgcHJpbnQoKQo="]];[["python64","cXVlZW4oNSwgMykK"]];[["python64","ZGVmIHF1ZWVuKHgsIHkpOgogICAgeCAtPSAxCiAgICB5IC09IDEKICAgIGZvciBqIGluIHJhbmdlKDgpOgogICAgICAgIGZvciBpIGluIHJhbmdlKDgpOgogICAgICAgICAgICBpZiBpID09IHggYW5kIGogPT0geToKICAgICAgICAgICAgICAgIHByaW50KCJEIiwgZW5kPSIiKQogICAgICAgICAgICBlbGlmIGkgPT0geCBvciBqID09IHkgb3IgeCt5ID09IGkraiBvciB4LXkgPT0gaS1qOgogICAgICAgICAgICAgICAgcHJpbnQoIioiLCBlbmQ9IiIpCiAgICAgICAgICAgIGVsc2U6CiAgICAgICAgICAgICAgICBwcmludCgiLiIsIGVuZD0iIikKICAgICAgICBwcmludCgpCg=="]];[["python64","cXVlZW4oMSwgMSkK"],["python64","cXVlZW4oMywgNikK"],["python64","cXVlZW4oNCwgNikK"],["python64","cXVlZW4oMiwgNykK"],["python64","cXVlZW4oMSwgOCkK"],["python64","cXVlZW4oMiwgMikK"],["python64","cXVlZW4oNSwgNCkK"]];1067375;8;1;2017-11-29 14:41:49
40;Velké N;[["html","Napište funkci <b>bigN(n)</b>, která vypíše textový obrázek velkého písmene N na <i>n</i> řádků (viz ukázkový výstup). "]];[["python64","ZGVmIGJpZ04obik6CiAgICBwcmludCgifCIpCiAgICBwcmludCgiXFwiKQo="]];[["python64","YmlnTig2KQo="]];[["python64","ZGVmIGJpZ04obik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludCgifCIrIiAiKmkrIlxcIisiICIqKG4tMS1pKSsifCIpCg=="]];[["python64","YmlnTig1KQo="],["python64","YmlnTigyKQo="],["python64","YmlnTig2KQo="],["python64","YmlnTigxKQo="],["python64","YmlnTigxMCkK"],["python64","YmlnTig3KQo="],["python64","YmlnTigzKQo="],["python64","YmlnTig4KQo="]];484275;5;1;2017-12-08 14:48:50
41;Pěkná dvojice;[["html","Kryštof se rozhodl, že dvojice přirozených čísel je <i>pěkná</i>, pokud jedno z nich je sudé a druhé liché. Napište funkci <b>nice(a, b)</b>, která otestuje, zda zadaná dvojice <i>a</i>, <i>b</i> je pěkná. "]];[["python64","ZGVmIG5pY2UoYSwgYik6CiAgICByZXR1cm4gRmFsc2UK"]];[["python64","cHJpbnQobmljZSgzLCA1KSkKcHJpbnQobmljZSgyLCA0KSkKcHJpbnQobmljZSgyLCA1KSkKcHJpbnQobmljZSgzLCA2KSkK"]];[["python64","ZGVmIG5pY2UoYSwgYik6CiAgICByZXR1cm4gKGEgJSAyID09IDApICE9IChiICUgMiA9PSAwKQo="]];[["python64","cHJpbnQobmljZSgzLCA1KSkK"],["python64","cHJpbnQobmljZSgyLCA0KSkK"],["python64","cHJpbnQobmljZSgyLCA1KSkK"],["python64","cHJpbnQobmljZSgzLCA3KSkK"],["python64","cHJpbnQobmljZSgyLCA1KSkK"],["python64","cHJpbnQobmljZSgzLCAxNSkpCg=="],["python64","cHJpbnQobmljZSgxMiwgMTUpKQo="],["python64","cHJpbnQobmljZSgxMywgMTYpKQo="]];139675;2;1;2017-12-08 14:57:10
42;Je Honza šťastný?;[["html","Honza byl dnes třikrát zkoušený. Honza je šťastný, kdykoliv dostane během dne alespoň jednou lepší známku než trojku. Napište funkci <b>happy(a, b, c)</b>, která pro zadané známky <i>a</i>, <i>b</i>,  <i>c</i> rozhodne, zda je Honza šťastný. "]];[["python64","ZGVmIGhhcHB5KGEsIGIsIGMpOgogICAgcmV0dXJuIEZhbHNlCg=="]];[["python64","cHJpbnQoaGFwcHkoMywgNCwgNCkpCnByaW50KGhhcHB5KDMsIDQsIDUpKQpwcmludChoYXBweSgxLCAxLCAyKSkKcHJpbnQoaGFwcHkoNSwgNSwgNSkpCnByaW50KGhhcHB5KDMsIDQsIDIpKQpwcmludChoYXBweSgzLCAxLCA0KSkK"]];[["python64","ZGVmIGhhcHB5KGEsIGIsIGMpOgogICAgcmV0dXJuIChhIDwgMyBvciBiIDwgMyBvciBjIDwgMykK"]];[["python64","cHJpbnQoaGFwcHkoMywgNCwgNCkpCg=="],["python64","cHJpbnQoaGFwcHkoMywgNCwgMikpCg=="],["python64","cHJpbnQoaGFwcHkoMSwgMSwgMikpCg=="],["python64","cHJpbnQoaGFwcHkoNSwgNSwgNSkpCg=="],["python64","cHJpbnQoaGFwcHkoMywgNSwgMikpCg=="],["python64","cHJpbnQoaGFwcHkoMywgMSwgNCkpCg=="],["python64","cHJpbnQoaGFwcHkoNSwgNSwgMSkpCg=="],["python64","cHJpbnQoaGFwcHkoNSwgNSwgNCkpCg=="],["python64","cHJpbnQoaGFwcHkoMSwgMSwgMSkpCg=="]];155900;4;1;2017-12-08 15:04:07
43;Lichá a sudá;[["html","Napište funkci <b>odd_even(n)</b>, která vypíše prvních <i>n</i> přirozených čísel, přičemž lichá a sudá čísla budou vypsána na střídačku ve dvou řádcích (viz ukázkový výstup). "]];[["python64","ZGVmIG9kZF9ldmVuKG4pOgogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbik6CiAgICAgICAgaWYgaSAlIDIgPT0gMToKICAgICAgICAgICAgcHJpbnQoaSwgZW5kPSIgIikKICAgIHByaW50KCkK"]];[["python64","b2RkX2V2ZW4oMjApCg=="]];[["python64","ZGVmIG9kZF9ldmVuKG4pOgogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbisxKToKICAgICAgICBpZiBpICUgMiA9PSAxOgogICAgICAgICAgICBwcmludChpLCBlbmQ9IiAiKQogICAgcHJpbnQoKQogICAgcHJpbnQoIiAiLCBlbmQ9IiIpCiAgICBmb3IgaSBpbiByYW5nZSgxLCBuKzEpOgogICAgICAgIGlmIGkgJSAyID09IDA6CiAgICAgICAgICAgIHByaW50KGksIGVuZD0iICIpCiAgICBwcmludCgpCg=="]];[["python64","b2RkX2V2ZW4oNSkK"],["python64","b2RkX2V2ZW4oMTApCg=="],["python64","b2RkX2V2ZW4oMTMpCg=="],["python64","b2RkX2V2ZW4oOCkK"],["python64","b2RkX2V2ZW4oMzMpCg=="]];235400;6;1;2017-12-08 15:14:26
44;Opakovaný šikmý nápis;[["html","Napište funkci <b>make_fancy(text, n)</b>, která vypíše <i>text</i> šikmo a navíc <i>n</i>-krát za sebou (viz ukázka). "]];[["python64","ZGVmIG1ha2VfZmFuY3kodGV4dCwgbik6CiAgICBwcmludCh0ZXh0KQo="]];[["python64","bWFrZV9mYW5jeSgiUFRBS09QWVNLIiwgMykgICAgICAgIAo="]];[["python64","ZGVmIG1ha2VfZmFuY3kodGV4dCwgbik6CiAgICBmb3IgaSBpbiByYW5nZShsZW4odGV4dCkpOgogICAgICAgIHByaW50KCIgIippICsgKHRleHRbaV0rIiAiKSpuKQo="]];[["python64","bWFrZV9mYW5jeSgiYWhvaiIsIDUpCg=="],["python64","bWFrZV9mYW5jeSgiYWdob29BTEhHSE8iLCA0KQo="],["python64","bWFrZV9mYW5jeSgiSEVMTE8iLCA4KQo="],["python64","bWFrZV9mYW5jeSgiS09TIiwgMTApCg=="],["python64","bWFrZV9mYW5jeSgiUGFyZHViaWNlIiwgMikK"],["python64","bWFrZV9mYW5jeSgiUHJhc2UiLCA4KQo="]];247525;7;1;2017-12-08 15:24:35
45;Výpisy součtů;[["html","Napište funkci <b>print_sums(n)</b>, která vypíše všechny způsoby, jak jde zadané číslo <i>n</i> vyjádřit jako součet dvou přirozených čísel."]];[["python64","ZGVmIHByaW50X3N1bXMobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludChuLCAiPSIsIGksICIrIiwgaSkK"]];[["python64","cHJpbnRfc3VtcygxMykgICAgICAgIAo="]];[["python64","ZGVmIHByaW50X3N1bXMobik6CiAgICBmb3IgaSBpbiByYW5nZSgxLCBuKToKICAgICAgICBwcmludChuLCAiPSIsIGksICIrIiwgbi1pKQo="]];[["python64","cHJpbnRfc3VtcygxMCkK"],["python64","cHJpbnRfc3VtcygyMCkK"],["python64","cHJpbnRfc3VtcygyKQo="],["python64","cHJpbnRfc3Vtcyg4KQo="],["python64","cHJpbnRfc3VtcygyNykK"],["python64","cHJpbnRfc3Vtcyg3KQo="]];103375;1;1;2017-12-08 15:31:39
46;Výpisy součinů;[["html","Napište funkci <b>print_products(n)</b>, která vypíše všechny způsoby, jak jde zadané číslo <i>n</i> vyjádřit jako součin dvou přirozených čísel. "]];[["python64","ZGVmIHByaW50X3Byb2R1Y3RzKG4pOgogICAgcHJpbnQobikK"]];[["python64","cHJpbnRfcHJvZHVjdHMoMzYpCg=="]];[["python64","ZGVmIHByaW50X3Byb2R1Y3RzKG4pOgogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbisxKToKICAgICAgICBpZiBuICUgaSA9PSAwOgogICAgICAgICAgICBwcmludChuLCAiPSIsIGksICIqIiwgbi8vaSkK"]];[["python64","cHJpbnRfcHJvZHVjdHMoMTUpCg=="],["python64","cHJpbnRfcHJvZHVjdHMoMjQpCg=="],["python64","cHJpbnRfcHJvZHVjdHMoNykK"],["python64","cHJpbnRfcHJvZHVjdHMoMjEpCg=="],["python64","cHJpbnRfcHJvZHVjdHMoODEpCg=="],["python64","cHJpbnRfcHJvZHVjdHMoNjQpCg=="],["python64","cHJpbnRfcHJvZHVjdHMoNjApCg=="]];258600;4;1;2017-12-08 15:35:49
47;Součet a rozdíl;[["html","Napište funkci <b>sum_dif(a, b)</b>, která pro zadaná kladná čísla <i>a</i>, <i>b</i> vypíše informaci o jejich součtu a rozdílu (viz ukázkový výstup)."]];[["python64","ZGVmIHN1bV9kaWYoYSwgYik6CiAgICBwcmludChhLCBiKQo="]];[["python64","c3VtX2RpZig1LCA4KQo="]];[["python64","ZGVmIHN1bV9kaWYoYSwgYik6CiAgICBwcmludChhLCAiKyIsIGIsICI9IiwgYStiKQogICAgcHJpbnQoYSwgIi0iLCBiLCAiPSIsIGEtYikK"]];[["python64","c3VtX2RpZig0LCAyKQo="],["python64","c3VtX2RpZigxMCwgMykK"],["python64","c3VtX2RpZigyLCAxKQo="],["python64","c3VtX2RpZigxLCAzKQo="],["python64","c3VtX2RpZigxMCwgOSkK"],["python64","c3VtX2RpZigxMiwgMSkK"]];117300;7;1;2018-04-18 11:00:16
48;Čokoláda;[["html","Napište funkci <b>chocolate(rows, columns, x)</b>, která vypíše informaci o tom, kolik čtverečků čokolády ještě zbývá, pokud čokoláda má <i>rows</i> řádků, <i>columns</i> sloupečků a <i>x</i> čtverečků již někdo snědl („Já to nebyl!“)."]];[["python64","ZGVmIGNob2NvbGF0ZShyb3dzLCBjb2x1bW5zLCB4KToKICAgIHByaW50KCkK"]];[["python64","Y2hvY29sYXRlKDUsIDgsIDEyKQo="]];[["python64","ZGVmIGNob2NvbGF0ZShyb3dzLCBjb2x1bW5zLCB4KToKICAgIHByaW50KCJaYnl0ZWs6Iiwgcm93cypjb2x1bW5zIC0geCkK"]];[["python64","Y2hvY29sYXRlKDUsIDgsIDEyKQo="],["python64","Y2hvY29sYXRlKDUsIDgsIDE2KQo="],["python64","Y2hvY29sYXRlKDYsIDksIDMpCg=="],["python64","Y2hvY29sYXRlKDQsIDUsIDcpCg=="]];119125;4;1;2018-04-18 11:13:46
49;Výpis mocnin;[["html","Napište funkci <b>powers(n)</b>, která vypíše informaci o druhé, třetí a čtvrté mocnině <i>n</i> (viz ukázkový výstup)."]];[["python64","ZGVmIHBvd2VycyhuKToKICAgIHByaW50KG4sICJuYSB0cmV0aSBuZW5pIiwgbikK"]];[["python64","cG93ZXJzKDUpCg=="]];[["python64","ZGVmIHBvd2VycyhuKToKICAgIHByaW50KG4sICJuYSBkcnVob3UgamUiLCBuKioyKQogICAgcHJpbnQobiwgIm5hIHRyZXRpIGplIiwgbioqMykKICAgIHByaW50KG4sICJuYSBjdHZydG91IGplIiwgbioqNCkKCg=="]];[["python64","cG93ZXJzKDIpCg=="],["python64","cG93ZXJzKDYpCg=="],["python64","cG93ZXJzKDMpCg=="],["python64","cG93ZXJzKDEwKQo="],["python64","cG93ZXJzKDgpCg=="]];113475;2;1;2018-04-18 11:24:13
50;Křížek;[["html","Napište funkci <b>cross(z)</b>, která vypíše malý křížek tvořený za použití zadaného znaku <i>z</i>."]];[["python64","ZGVmIGNyb3NzKHopOgogICAgcHJpbnQoeikK"]];[["python64","Y3Jvc3MoIkEiKQo="]];[["python64","ZGVmIGNyb3NzKHopOgogICAgcHJpbnQoeiwgIiAiLCB6KQogICAgcHJpbnQoIiAiLCB6KQogICAgcHJpbnQoeiwgIiAiLCB6KQo="]];[["python64","Y3Jvc3MoIisiKQo="],["python64","Y3Jvc3MoIkIiKQo="],["python64","Y3Jvc3MoIkQiKQo="],["python64","Y3Jvc3MoImUiKQo="],["python64","Y3Jvc3MoIlgiKQo="]];129425;5;1;2018-04-18 11:32:20
51;Dračí bitka;[["html","Drak je naštvaný. Místo princezen mu na oběd přinesli prasata. Navíc pokud prasata nepůjde rozdělit spravedlivě mezi dračí hlavy, tak se hlavy vzájemně pobijí. Napište funkci <b>dragon_test(heads, pigs)</b>, která pro zadaný počet dračích hlav (<i>heads</i>) a prasat (<i>pigs</i>), rozhodne, zda bude bitka (prasata nejdou spravedlivě rozdělit), nebo nebude bitka (prasata jdou spravedlivě rozdělit)."]];[["python64","ZGVmIGRyYWdvbl90ZXN0KGhlYWRzLCBwaWdzKToKICAgIHByaW50KCJNb3puYSBidWRlIGJpdGthLiIpCg=="]];[["python64","ZHJhZ29uX3Rlc3QoMywgMTIpCmRyYWdvbl90ZXN0KDMsIDExKQpkcmFnb25fdGVzdCg1LCA1KQo="]];[["python64","ZGVmIGRyYWdvbl90ZXN0KGhlYWRzLCBwaWdzKToKICAgIGlmIHBpZ3MgJSBoZWFkcyA9PSAwOgogICAgICAgIHByaW50KCJOZWJ1ZGUgYml0a2EuIikKICAgIGVsc2U6CiAgICAgICAgcHJpbnQoIkJ1ZGUgYml0a2EuIikK"]];[["python64","ZHJhZ29uX3Rlc3QoNCwgOSkK"],["python64","ZHJhZ29uX3Rlc3QoMywgMTIpCg=="],["python64","ZHJhZ29uX3Rlc3QoMywgMTEpCg=="],["python64","ZHJhZ29uX3Rlc3QoNSwgNSkK"],["python64","ZHJhZ29uX3Rlc3QoMywgMTkpCg=="],["python64","ZHJhZ29uX3Rlc3QoNCwgOCkK"]];207950;2;1;2018-04-18 11:45:18
52;Týdny;[["html","Napište funkci <b>weeks(n)</b>, která pro zadaný počet týdnů <i>n</i> vypíše, kolik obsahují dnů, hodin a minut (viz ukázkový výstup)."]];[["python64","ZGVmIHdlZWtzKG4pOgogICAgcHJpbnQoIlBvY2V0IGRudToiLCAwKQo="]];[["python64","d2Vla3MoNikK"]];[["python64","ZGVmIHdlZWtzKG4pOgogICAgcHJpbnQoIlBvY2V0IGRudToiLCBuKjcpCiAgICBwcmludCgiUG9jZXQgaG9kaW46Iiwgbio3KjI0KQogICAgcHJpbnQoIlBvY2V0IG1pbnV0OiIsIG4qNyoyNCo2MCkK"]];[["python64","d2Vla3MoMSkK"],["python64","d2Vla3MoMykK"],["python64","d2Vla3MoMTApCg=="],["python64","d2Vla3MoNSkK"],["python64","d2Vla3MoMikK"]];124250;6;1;2018-04-18 12:28:09
53;Prostřední z trojice;[["html","Napište funkci <b>middle_number(a, b, c)</b>, která pro zadaná čísla <i>a</i>, <i>b</i>, <i>c</i> vypíše to prostřední z nich (podle velikosti)."]];[["python64","ZGVmIG1pZGRsZV9udW1iZXIoYSwgYiwgYyk6CiAgICBwcmludCgwKQo="]];[["python64","bWlkZGxlX251bWJlcig4LCAxLCAzKQptaWRkbGVfbnVtYmVyKDgsIDEwLCAzKQptaWRkbGVfbnVtYmVyKDgsIDEwLCAzMCkK"]];[["python64","ZGVmIG1pZGRsZV9udW1iZXIoYSwgYiwgYyk6CiAgICBpZiBhIDwgYjoKICAgICAgICBpZiBiIDwgYzoKICAgICAgICAgICAgcHJpbnQoYikKICAgICAgICBlbGlmIGMgPCBhOgogICAgICAgICAgICBwcmludChhKQogICAgICAgIGVsc2U6CiAgICAgICAgICAgIHByaW50KGMpCiAgICBlbHNlOgogICAgICAgIGlmIGEgPCBjOgogICAgICAgICAgICBwcmludChhKQogICAgICAgIGVsaWYgYyA8IGI6CiAgICAgICAgICAgIHByaW50KGIpCiAgICAgICAgZWxzZToKICAgICAgICAgICAgcHJpbnQoYykK"]];[["python64","bWlkZGxlX251bWJlcigxLCAyLCAzKQo="],["python64","bWlkZGxlX251bWJlcig4LCAxLCAzKQo="],["python64","bWlkZGxlX251bWJlcig4LCAxMCwgMykK"],["python64","bWlkZGxlX251bWJlcig4LCAxMCwgMzApCg=="],["python64","bWlkZGxlX251bWJlcigxLCAzLCAyKQo="],["python64","bWlkZGxlX251bWJlcigxLCAyLCAzKQo="],["python64","bWlkZGxlX251bWJlcigyLCAxLCAzKQo="],["python64","bWlkZGxlX251bWJlcigyLCAzLCAxKQo="],["python64","bWlkZGxlX251bWJlcigzLCAxLCAyKQo="],["python64","bWlkZGxlX251bWJlcigzLCAyLCAxKQo="],["python64","bWlkZGxlX251bWJlcig2LCA0LCA4KQo="]];243550;5;1;2018-04-18 12:40:22
54;Porovnání dvou čísel;[["html","Napište funkci <b>compare(a, b)</b>, která pro dvě zadaná čísl <i>a</i>, <i>b</i> vypíše informaci o tom, zda jsou stejná, nebo je jedno z nich větší (a které to je)."]];[["python64","ZGVmIGNvbXBhcmUoYSwgYik6CiAgICBwcmludCgibmV2aW0iKQo="]];[["python64","Y29tcGFyZSgzLCA1KQpjb21wYXJlKDMsIDMpCmNvbXBhcmUoNiwgNSkK"]];[["python64","ZGVmIGNvbXBhcmUoYSwgYik6CiAgICBpZiBhID09IGI6CiAgICAgICAgcHJpbnQoInN0ZWpuYSIpCiAgICBlbGlmIGEgPCBiOgogICAgICAgIHByaW50KGIsICJqZSB2ZXRzaSBuZXoiLCBhKQogICAgZWxzZToKICAgICAgICBwcmludChhLCAiamUgdmV0c2kgbmV6IiwgYikK"]];[["python64","Y29tcGFyZSgxLCA3KQo="],["python64","Y29tcGFyZSg5LCAyKQo="],["python64","Y29tcGFyZSgzLCA1KQo="],["python64","Y29tcGFyZSgzLCAzKQo="],["python64","Y29tcGFyZSg2LCA1KQo="],["python64","Y29tcGFyZSg3LCA3KQo="],["python64","Y29tcGFyZSgxNiwgMTIpCg=="]];236625;1;1;2018-04-18 12:47:46
55;Podkovy;[["html","Kovář má okovat několik koní a potřebuje zjistit, jestli má správný počet podkov. Napište funkci <b>check(p, k)</b>, která pro zadaný počet podkov <i>p</i> a počet koní <i>k</i> vypíše, kolik podkov chybí, přebývá, nebo zda je počet správně (formát výstupu viz ukázkový soubor). "]];[["python64","ZGVmIGNoZWNrKHAsIGspOgogICAgcHJpbnQoIk9LIikK"]];[["python64","Y2hlY2soMTAsIDIpCmNoZWNrKDEyLCAzKQpjaGVjaygyMCwgNikK"]];[["python64","ZGVmIGNoZWNrKHAsIGspOgogICAgaWYgcCA8IDQqazoKICAgICAgICBwcmludCgiQ2h5Ymk6IiwgNCprLXApCiAgICBlbGlmIHAgPiA0Kms6CiAgICAgICAgcHJpbnQoIlByZWJ5dmE6IiwgcC00KmspCiAgICBlbHNlOgogICAgICAgIHByaW50KCJPSyIpCg=="]];[["python64","Y2hlY2soMTAsIDIpCg=="],["python64","Y2hlY2soMTIsIDMpCg=="],["python64","Y2hlY2soMjAsIDYpCg=="],["python64","Y2hlY2soMTMsIDMpCg=="],["python64","Y2hlY2soNCwgMSkK"],["python64","Y2hlY2soMzAsIDgpCg=="],["python64","Y2hlY2soMTcsIDQpCg=="]];385000;6;1;2018-04-24 14:32:29
56;Čísla pozpátku;[["html","Napište funkci <b>reverse_numbers(n)</b>, která vypíše čísla od 1 do <i>n</i> pozpátku."]];[["python64","ZGVmIHJldmVyc2VfbnVtYmVycyhuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KGkpCg=="]];[["python64","cmV2ZXJzZV9udW1iZXJzKDgpCg=="]];[["python64","ZGVmIHJldmVyc2VfbnVtYmVycyhuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KG4taSkK"]];[["python64","cmV2ZXJzZV9udW1iZXJzKDUpCg=="],["python64","cmV2ZXJzZV9udW1iZXJzKDEzKQo="],["python64","cmV2ZXJzZV9udW1iZXJzKDcpCg=="],["python64","cmV2ZXJzZV9udW1iZXJzKDE4KQo="],["python64","cmV2ZXJzZV9udW1iZXJzKDYpCg=="]];66350;3;1;2018-04-24 14:45:34
57;Sudá čísla;[["html","Napište funkci <b>even_numbers(n)</b>, která vypíše <i>n</i> sudých čísel (počínaje dvojkou). "]];[["python64","ZGVmIGV2ZW5fbnVtYmVycyhuKToKICAgIHByaW50KDIpCg=="]];[["python64","ZXZlbl9udW1iZXJzKDYpCg=="]];[["python64","ZGVmIGV2ZW5fbnVtYmVycyhuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KDIrMippKQo="]];[["python64","ZXZlbl9udW1iZXJzKDgpCg=="],["python64","ZXZlbl9udW1iZXJzKDIpCg=="],["python64","ZXZlbl9udW1iZXJzKDcpCg=="],["python64","ZXZlbl9udW1iZXJzKDEwKQo="],["python64","ZXZlbl9udW1iZXJzKDUpCg=="]];132500;5;1;2018-04-24 14:52:33
58;Hej rup!;[["html","Napište funkci <b>hej_rup(n)</b>, která vypíše <i>n</i> krát za sebou <i>hej</i> a <i>rup</i>. "]];[["python64","ZGVmIGhlal9ydXAobik6CiAgICBwcmludCgiaGVqIikK"]];[["python64","aGVqX3J1cCg1KQo="]];[["python64","ZGVmIGhlal9ydXAobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludCgiaGVqIikKICAgICAgICBwcmludCgicnVwIikK"]];[["python64","aGVqX3J1cCgyKQo="],["python64","aGVqX3J1cCg2KQo="],["python64","aGVqX3J1cCgzKQo="],["python64","aGVqX3J1cCg0KQo="]];95500;2;1;2018-04-24 14:58:14
59;Severská zvěř;[["html","Napište funkci <b>animals(n)</b>, která vypíše <i>n</i> sobů a následně dvakrát tolik losů. "]];[["python64","ZGVmIGFuaW1hbHMobik6CiAgICBwcmludCgic29iIikK"]];[["python64","YW5pbWFscygzKQo="]];[["python64","ZGVmIGFuaW1hbHMobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludCgic29iIikKICAgIGZvciBpIGluIHJhbmdlKG4qMik6CiAgICAgICAgcHJpbnQoImxvcyIpCg=="]];[["python64","YW5pbWFscyg0KQo="],["python64","YW5pbWFscygxKQo="],["python64","YW5pbWFscyg2KQo="],["python64","YW5pbWFscyg1KQo="],["python64","YW5pbWFscygyKQo="]];105350;4;1;2018-04-24 15:06:16
60;Velká sudá;[["html","Napište funkci <b>big_even(a, b)</b>, která vrátí <i>True</i> právě tehdy, když větší z čísel <i>a</i>, <i>b</i> je sudé. "]];[["python64","ZGVmIGJpZ19ldmVuKGEsIGIpOgogICAgcmV0dXJuIEZhbHNlCg=="]];[["python64","cHJpbnQoYmlnX2V2ZW4oMiwgNSkpCnByaW50KGJpZ19ldmVuKDIsIDQpKQpwcmludChiaWdfZXZlbig3LCAzKSkKcHJpbnQoYmlnX2V2ZW4oOCwgNikpCnByaW50KGJpZ19ldmVuKDgsIDUpKQo="]];[["python64","ZGVmIGJpZ19ldmVuKGEsIGIpOgogICAgcmV0dXJuIChhID4gYiBhbmQgYSAlIDIgPT0gMCkgb3IgKGIgPiBhIGFuZCBiICUgMiA9PSAwKQo="]];[["python64","cHJpbnQoYmlnX2V2ZW4oMiwgNSkpCg=="],["python64","cHJpbnQoYmlnX2V2ZW4oMiwgNCkpCg=="],["python64","cHJpbnQoYmlnX2V2ZW4oNywgMykpCg=="],["python64","cHJpbnQoYmlnX2V2ZW4oOCwgNikpCg=="],["python64","cHJpbnQoYmlnX2V2ZW4oOCwgMTEpKQo="],["python64","cHJpbnQoYmlnX2V2ZW4oOCwgMTIpKQo="],["python64","cHJpbnQoYmlnX2V2ZW4oOSwgNSkpCg=="],["python64","cHJpbnQoYmlnX2V2ZW4oMTIsIDMpKQo="]];173800;5;1;2018-04-24 15:18:39
61;Test mocniny (a bagr);[["html","Napište funkci <b>power_test(a, b)</b>, která otestuje, zda je jedno z čísel <i>a</i>, <i>b</i> druhou mocninou toho druhého. Pokud žádnou druhou mocninu nenajde, tak funkce alespoň vypíše <i>bagr</i>. "]];[["python64","ZGVmIHBvd2VyX3Rlc3QoYSwgYik6CiAgICBwcmludCgiYmFnciBuZW5pIGRydWhvdSBtb2NuaW5vdSIpCg=="]];[["python64","cG93ZXJfdGVzdCg1LCAyNSkKcG93ZXJfdGVzdCg5LCAzKQpwb3dlcl90ZXN0KDQsIDIwKQo="]];[["python64","ZGVmIHBvd2VyX3Rlc3QoYSwgYik6CiAgICBpZiBhKioyID09IGI6CiAgICAgICAgcHJpbnQoYiwgImplIGRydWhvdSBtb2NuaW5vdSIsIGEpCiAgICBlbGlmIGIqKjIgPT0gYToKICAgICAgICBwcmludChhLCAiamUgZHJ1aG91IG1vY25pbm91IiwgYikKICAgIGVsc2U6CiAgICAgICAgcHJpbnQoImJhZ3IiKQo="]];[["python64","cG93ZXJfdGVzdCg1LCAyNSkK"],["python64","cG93ZXJfdGVzdCg5LCAzKQo="],["python64","cG93ZXJfdGVzdCg0LCAyMCkK"],["python64","cG93ZXJfdGVzdCgxNiwgNCkK"],["python64","cG93ZXJfdGVzdCg2LCAzNikK"],["python64","cG93ZXJfdGVzdCg3LCA1MCkK"],["python64","cG93ZXJfdGVzdCg5LCA4MSkK"]];216650;3;1;2018-04-24 15:28:43
62;Obsah a obvod;[["html","Napište funkci <b>area_perimeter(a)</b>, která vypíše informaci o obsahu a obvodu čtverce o straně délky <i>a</i>."]];[["python64","ZGVmIGFyZWFfcGVyaW1ldGVyKGEpOgogICAgcHJpbnQoKQo="]];[["python64","YXJlYV9wZXJpbWV0ZXIoMykK"]];[["python64","ZGVmIGFyZWFfcGVyaW1ldGVyKGEpOgogICAgcHJpbnQoIm9ic2FoIiwgYSphKQogICAgcHJpbnQoIm9idm9kIiwgNCphKQo="]];[["python64","YXJlYV9wZXJpbWV0ZXIoNSkK"],["python64","YXJlYV9wZXJpbWV0ZXIoOCkK"],["python64","YXJlYV9wZXJpbWV0ZXIoMSkK"],["python64","YXJlYV9wZXJpbWV0ZXIoNykK"],["python64","YXJlYV9wZXJpbWV0ZXIoNCkK"],["python64","YXJlYV9wZXJpbWV0ZXIoNikK"]];77000;3;1;2018-07-16 10:26:44
